date,phase,suggested_position_pct,confidence,sh_close,sh_one_year_position_pct,sh_drawdown_from_high_pct,cyb_one_year_position_pct,zz1000_one_year_position_pct,turnover_vs_250d,limit_up_count,limit_down_count,failed_limit_up_count,limit_up_open_failure_rate,advancers_ratio,advancers,decliners,breadth_source,breadth_status,risk_components
2026-05-25,高位强修复,35%-50%,中,4152.57,90.0,-2.121,99.2,94.7,1.511,103,15,33,0.2426,,,,,,
2026-05-26,高位分化修复,30%-45%,中,4145.37,89.2,-2.291,100.0,91.0,1.524,46,16,24,0.3429,,,,,,
2026-05-27,高位退潮风险,20%-35%,中,4093.73,83.5,-3.508,100.0,86.2,1.516,47,22,22,0.3188,,,,,,
2026-05-28,高位修复确认,30%-45%,中,4098.64,84.1,-3.393,100.0,89.3,1.384,102,8,21,0.1707,,,,,,
2026-05-29,高位退潮风险,20%-35%,中,4068.57,80.7,-4.101,95.9,81.6,1.542,49,50,38,0.4368,,,,,,
2026-06-01,高位退潮风险,20%-35%,中,4057.74,79.5,-4.357,91.9,79.5,1.331,120,21,41,0.2547,,,,,,
2026-06-02,高位修复确认,30%-45%,中,4075.1,81.4,-3.947,96.8,80.8,1.288,67,16,21,0.2386,,,,,,
2026-06-03,高位退潮风险,20%-35%,中,4083.97,82.4,-3.738,99.9,82.4,1.44,66,11,51,0.4359,,,,,,
2026-06-04,高位修复确认,30%-45%,中,4057.78,79.5,-4.356,98.3,82.0,1.263,80,7,19,0.1919,,,,,,
2026-06-05,高位退潮风险,20%-35%,中,4027.74,76.2,-5.064,92.2,79.3,1.402,73,11,52,0.416,,,,,,
2026-06-08,高位退潮风险,20%-35%,中,3959.34,68.6,-6.676,85.4,70.6,1.271,57,35,10,0.1493,0.1638,899,4591,public-input,ok,上涨家数塌陷|跌停扩散|趋势破位
2026-06-09,高位修复确认,30%-45%,中,4010.03,74.0,-5.481,92.3,78.5,1.198,130,9,24,0.1558,0.6185,3322,2049,public-input,ok,
2026-06-10,高位退潮风险,20%-35%,中,3993.23,72.1,-5.877,87.3,74.4,1.185,71,25,19,0.2111,,,,public-input,missing,跌停扩散|趋势破位
2026-06-11,高位退潮风险,20%-35%,中,3987.01,71.0,-6.024,85.2,73.1,1.151,69,32,30,0.303,,,,public-input,missing,跌停扩散|趋势破位
2026-06-12,高位退潮风险,20%-35%,中,4031.51,76.1,-4.975,86.1,74.5,1.447,89,15,62,0.4106,0.711,3919,1518,public-input,ok,炸板偏高|趋势破位
2026-06-15,高位修复确认,20%-35%,中,4096.47,83.4,-3.444,95.7,85.3,1.359,145,3,43,0.2287,0.7069,3668,1401,public-input,ok,
2026-06-16,高位强修复,35%-50%,中,4091.89,82.9,-3.552,99.0,89.5,1.369,117,7,38,0.2452,0.4938,2730,2677,public-input,ok,
2026-06-17,高位退潮风险,20%-35%,中,4108.08,84.8,-3.17,100.0,91.5,1.377,86,1,28,0.2456,0.3117,1723,3734,public-input,ok,上涨家数塌陷
2026-06-18,高位分化修复,30%-45%,中,4090.48,82.8,-3.585,100.0,93.8,1.469,91,12,42,0.3158,0.366,2023,3395,public-input,ok,宽度降温
2026-06-22,高位强修复,35%-50%,中,4163.1,91.0,-1.873,100.0,97.0,1.653,134,4,26,0.1625,0.5274,2916,2468,public-input,ok,
2026-06-23,高位退潮风险,20%-35%,中,4106.25,84.6,-3.213,92.9,90.7,1.515,96,39,50,0.3425,0.5,2764,2644,public-input,ok,跌停扩散
2026-06-24,高位退潮风险,20%-35%,中,4110.81,85.1,-3.106,95.4,94.5,1.441,98,12,23,0.1901,0.2594,1434,4034,public-input,ok,上涨家数塌陷
2026-06-25,高位退潮风险,20%-35%,中,4120.28,86.1,-2.882,100.0,95.6,1.571,86,17,31,0.265,0.2226,1231,4228,public-input,ok,上涨家数塌陷
2026-06-26,高位退潮风险,20%-35%,中,4027.26,75.6,-5.075,92.5,88.0,1.547,60,30,35,0.3684,0.1429,790,4676,public-input,ok,上涨家数塌陷|跌停扩散|炸板偏高
2026-06-29,高位退潮风险,20%-35%,中,4073.9,80.9,-3.976,93.4,87.9,1.526,107,38,38,0.2621,0.4466,2469,2933,public-input,ok,跌停扩散
2026-07-03,高位修复确认,20%-35%,中,4043.64,75.8,-4.689,84.7,87.9,1.359,108,19,52,0.325,0.6792,3527,1584,legu-market-activity,ok,宽度降温
